Epoch	Loss	Val Loss
1	907.9497680664062	900.0339965820312
2	481.8512268066406	778.3169555664062
3	410.0154724121094	600.5371704101562
4	344.8762512207031	782.7532958984375
5	282.6119384765625	393.8718566894531
6	246.19032287597656	452.82763671875
7	211.166015625	728.8235473632812
8	198.8062286376953	530.9238891601562
9	184.90982055664062	672.816162109375
10	152.6834716796875	473.59527587890625
11	131.84703063964844	440.935546875
12	111.862060546875	424.2850646972656
13	91.09408569335938	400.25384521484375
14	71.74757385253906	305.2349548339844
15	59.76081085205078	159.43492126464844
16	42.61457824707031	100.57030487060547
17	33.590972900390625	78.88787078857422
18	25.638404846191406	104.87890625
19	22.232349395751953	88.44802856445312
20	20.21442413330078	96.84382629394531
21	18.56793212890625	107.1859359741211
22	18.09388542175293	93.48041534423828
23	16.475202560424805	79.77177429199219
24	15.806475639343262	110.79852294921875
25	14.113383293151855	89.01132202148438
26	14.283096313476562	51.37031936645508
27	12.768118858337402	87.63787841796875
28	13.601893424987793	82.37749481201172
29	11.942185401916504	75.7593994140625
30	11.718160629272461	70.28849029541016
31	11.74459457397461	54.89462661743164
32	12.42278003692627	17.965526580810547
33	11.584014892578125	62.961936950683594
34	10.034950256347656	34.0066032409668
35	10.749101638793945	52.15962219238281
36	10.07188606262207	33.673553466796875
37	10.031240463256836	18.891759872436523
38	9.636545181274414	39.49947738647461
39	8.419888496398926	56.37184143066406
40	8.766883850097656	33.40531539916992
41	8.894441604614258	44.913944244384766
42	8.196797370910645	24.815956115722656
43	8.101778984069824	35.16232681274414
44	7.284519195556641	47.70264434814453
45	6.64778470993042	38.01884841918945
46	6.384375095367432	31.290660858154297
47	6.505420207977295	30.704364776611328
48	5.899649143218994	31.969341278076172
49	5.619931221008301	30.268556594848633
50	6.090126037597656	20.916933059692383
51	5.424595832824707	34.81800842285156
52	5.30157995223999	33.74652862548828
53	5.378030300140381	37.76702117919922
54	5.0430378913879395	27.198413848876953
55	4.760847091674805	39.4341926574707
56	4.67680549621582	25.044103622436523
57	4.5888824462890625	25.835010528564453
58	4.6623215675354	29.701923370361328
59	4.576266288757324	24.63016700744629
60	4.495572090148926	27.36124610900879
61	4.407620906829834	32.61754608154297
62	4.643256664276123	25.85663414001465
63	4.329132080078125	23.027671813964844
64	4.0313215255737305	25.39381217956543
65	4.635132789611816	13.852404594421387
66	3.936885118484497	19.211347579956055
67	4.2949137687683105	23.02889633178711
68	4.045560359954834	21.504634857177734
69	4.620927810668945	17.384883880615234
70	3.841171979904175	32.58177947998047
71	4.626935958862305	15.682905197143555
72	4.010894298553467	27.55449104309082
73	5.106189250946045	12.396086692810059
74	4.776905059814453	15.837319374084473
75	4.711475372314453	9.578290939331055
76	4.71571159362793	17.72187042236328
77	4.605998516082764	15.815807342529297
78	4.366676330566406	13.91663932800293
79	4.4935712814331055	13.143290519714355
80	4.4659504890441895	10.47412395477295
81	4.544857025146484	13.636590003967285
82	4.545727729797363	18.434207916259766
83	4.195971965789795	11.520792007446289
84	4.230644226074219	12.766929626464844
85	4.293171405792236	18.627958297729492
86	4.378335952758789	15.1309175491333
87	4.205051898956299	16.435518264770508
88	4.166883945465088	15.54383373260498
89	4.5840559005737305	11.234835624694824
90	4.458986282348633	12.923356056213379
91	4.1900434494018555	13.083876609802246
92	4.24891471862793	13.48084545135498
93	4.152597904205322	11.885411262512207
94	4.115718364715576	14.652388572692871
95	4.11307430267334	11.195960998535156
96	4.0893707275390625	9.877820014953613
97	4.139634609222412	12.194836616516113
98	4.287502765655518	10.62224006652832
99	4.000464916229248	11.011430740356445
100	4.1503424644470215	16.188600540161133
